c,p,pid,nilai,diff
1,1,18,13950,0
1,1,15,14200,0
1,1,26,14250,0
1,1,16,14750,0
1,1,10,14900,0
1,1,14,14950,2.75
1,1,19,15300,0
1,1,17,15750,0
1,1,7,15950,0
1,1,34,16900,0
1,1,3,17900,0
1,1,33,19050,0
1,2,12,14450,-0.69
1,2,30,14550,0.34
1,2,27,14650,0
1,2,10,14900,0
1,2,15,14900,0
1,2,26,14900,0
1,2,8,15100,0
1,2,19,15100,0
1,2,5,15350,0
1,2,16,15350,-0.65
1,2,22,15400,0
1,2,9,15700,0
1,2,18,15800,0
1,2,29,15800,0
1,2,17,15900,0
1,2,7,15950,0
1,2,2,16000,-2.14
1,2,6,16100,0
1,2,4,16200,0
1,2,24,16200,0
1,2,1,16250,0
1,2,11,16300,0
1,2,14,16700,-1.76
1,2,13,17150,0
1,2,31,17350,0
1,2,21,17550,0
1,2,32,17700,0
1,2,34,17900,0
1,2,25,18250,0
1,2,28,18400,0
1,2,23,18500,3.35
1,2,3,19700,0
1,2,33,19750,0
2,1,26,27650,0
2,1,16,34600,0
2,1,10,34900,0
2,1,14,35500,1.72
2,1,15,36000,0
2,1,7,36750,0
2,1,18,39050,0
2,1,17,43050,0
2,1,3,50400,0
2,1,34,50800,0.4
2,1,19,50850,0
2,1,33,52000,0
2,2,30,28850,0
2,2,22,39500,0
2,2,24,43750,0
2,2,32,43950,0
2,2,10,44450,0
2,2,11,44900,0
2,2,27,44900,0
2,2,29,45150,0
2,2,16,45250,-3
2,2,15,46200,0
2,2,2,47200,-13.39
2,2,13,47200,0
2,2,26,47400,0
2,2,5,47600,0
2,2,8,47900,0
2,2,7,48050,0
2,2,34,48100,0
2,2,21,48600,0
2,2,12,50000,-0.89
2,2,18,50200,0
2,2,23,50950,0
2,2,17,51650,0
2,2,14,51900,12.58
2,2,4,51950,0
2,2,33,53350,-0.19
2,2,19,53700,0
2,2,31,54200,0
2,2,9,55900,0
2,2,6,56150,0
2,2,3,60250,0
2,2,25,60450,0
2,2,28,69950,0
3,1,19,116650,0
3,1,18,125950,0
3,1,16,126450,0
3,1,14,131900,4.31
3,1,10,132500,0
3,1,26,133400,0
3,1,17,134400,0
3,1,7,147500,0
3,1,3,150650,0
3,1,15,150650,0
3,1,34,152500,0
3,1,33,157800,0
3,2,24,99500,0
3,2,30,136650,0
3,2,34,155650,0
3,2,28,156950,0
3,2,3,158950,0
3,2,7,159950,0
3,2,29,167900,0
